null,강북삼성병원,종합병원,서울특별시 종로구 새문안로 29 (평동),02-2001-2001
null,서울대학교치과병원,치과병원,서울특별시 종로구 대학로 101 (연건동),02-2072-2655
null,서울적십자병원,종합병원,"서울특별시 종로구 새문안로 9\, 적십자병원 (평동)",02-2002-8000
null,서울대학교병원,종합병원,서울특별시 종로구 대학로 101 (연건동),1588-5700
null,서울숭인병원,일반병원,"서울특별시 종로구 종로 386\, 6.7.8.9층 (숭인동)",02-737-7582
null,로이병원,일반병원,"서울특별시 종로구 평창문화로 75\, 글로리아타운 2\,3\,5층 (평창동)",0216447541
null,서울지구병원,일반병원,서울특별시 종로구 삼청로10길 13 (삼청동),02-397-3915
null,세란병원,종합병원,서울특별시 종로구 통일로 256 (무악동),02-737-0181
null,광화문자생한방병원,한방병원,"서울특별시 중구 통일로 92\, 케이지타워 1\,2\,8층 (순화동)",02-2165-0965
null,한누리치과병원,치과병원,"서울특별시 중구 퇴계로 97\, 3층 306호 (충무로1가\, 고려대연각센터빌딩)",753-1922
null,서울송도병원,일반병원,"서울특별시 중구 다산로 78 (신당동\, 송도병원)",02-2231-0900
null,의료법인 제일의료재단 제일병원,일반병원,서울특별시 중구 서애로1길 17 (묵정동),02-2000-7114
null,인제대학교 서울백병원,종합병원,서울특별시 중구 마른내로 9 (저동2가),02-2270-0114
null,국립중앙의료원,종합병원,서울특별시 중구 을지로 245 (을지로6가),0222607114
null,연세스위트치과병원,치과병원,"서울특별시 중구 퇴계로 447\, 211~213호 (황학동\, 황학아크로타워)",02-733-2875
null,라임나무치과병원,치과병원,"서울특별시 중구 명동길 43\, 7층 (명동1가\, 신한은행)",02-754-2879
null,유치과병원,치과병원,"서울특별시 중구 다산로 175\, 3층 (신당동\, 명덕빌딩)",2233-3923
null,더블유치과병원,치과병원,"서울특별시 중구 장충단로 263\, 14층 (을지로6가\, 밀리오레상가건물)",-3393-1122
null,반도정형외과병원,일반병원,서울특별시 중구 동호로 202 (신당동),2252-0202
null,참바로병원,일반병원,"서울특별시 중구 다산로 258\, 2\,3층 (흥인동\, 리마크빌)",02-2234-8585
null,순천향대학교 부속 서울병원,종합병원,서울특별시 용산구 대사관로 59 (한남동),027099114
